afra_compounds,canonical_smiles,mol,morgan_fp,Predicted_Probability,Predicted_Class
trans-piperitone oxide,CC(C)[C@H]1CC[C@]2([C@@H](C1=O)O2)C,<rdkit.Chem.rdchem.Mol object at 0x7a309a25ef10>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7a309ab9db60>,0.6147810586460429,1
"trans-p-menth-2,8-dien-1-ol",CC(=C)[C@H]1CC[C@](C=C1)(C)O  ,<rdkit.Chem.rdchem.Mol object at 0x7a309a25ef80>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7a309ab9dbd0>,0.5175300164727755,1
trans-p-menth-2-en-1-ol,CC(C)[C@H]1CC[C@@](C=C1)(C)O  ,<rdkit.Chem.rdchem.Mol object at 0x7a309a25eff0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7a309ab9dc40>,0.5175300164727755,1
trans-sabinene hydrate,CC(C)[C@@]12CC[C@@]([C@@H]1C2)(C)O,<rdkit.Chem.rdchem.Mol object at 0x7a309a25f060>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7a309ab9dcb0>,0.5175300164727755,1
trans-sabinol,CC(C)[C@]12C[C@H](C(=C)C1C2)O,<rdkit.Chem.rdchem.Mol object at 0x7a309a25f0d0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7a309ab9dd20>,0.6147810586460429,1
tricosane,CCCCCCCCCCCCCCCCCCCCCCC,<rdkit.Chem.rdchem.Mol object at 0x7a309a25f140>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7a309ab9dd90>,1.0,1
tricyclene,CC1(C2CC3C1(C3C2)C)C,<rdkit.Chem.rdchem.Mol object at 0x7a309a25f1b0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7a309ab9de00>,0.5175300164727755,1
umbellulone,CC1=CC(=O)C2(C1C2)C(C)C,<rdkit.Chem.rdchem.Mol object at 0x7a309a25f220>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7a309ab9de70>,0.6147810586460429,1
vetivazulene,CC1=C2C=C(C=C2C(=CC=C1)C)C(C)C ,<rdkit.Chem.rdchem.Mol object at 0x7a309a25f290>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7a309ab9dee0>,0.6002920383390373,1
yomogi alcohol,CC(C)(C=C)/C=C/C(C)(C)O  ,<rdkit.Chem.rdchem.Mol object at 0x7a309a25f300>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7a309ab9df50>,1.0,1
Yomogiartemin,CC(=O)O[C@H]1C[C@@]([C@]23[C@@H]([C@@H]4[C@@H]1C(=C)C(=O)O4)[C@@]5([C@H]([C@H]2O3)O5)C)(C)O ,<rdkit.Chem.rdchem.Mol object at 0x7a309a25f370>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7a309ab9dfc0>,0.8904432824184437,1
